K1001,K1002,K1004,K1053,K1081,K1082,K1086,K1100,K1103,K1104,K1303,DMC_GearUnit ,Machine_1,Type_1,Attribute,Date/Time,Event,Batch Number,Nest Number,DMC_steering column ,Machine_2,Type_2,Attribute,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100717,1998,888878,0,12.01.2019/00:23:39,10,#19011200031,1,19011100701,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100749,1998,888878,0,12.01.2019/00:24:25,10,#19011200032,1,19011100719,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100743,1998,888878,0,12.01.2019/00:24:51,10,#19011200033,1,19011100716,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100733,1998,888878,0,12.01.2019/00:25:11,10,#19011200034,1,19011100723,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100614,1998,888878,0,12.01.2019/00:26:18,10,#19011200035,1,19011100664,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100824,1998,888878,0,12.01.2019/00:26:45,10,#19011200036,1,19011100704,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100672,1998,888878,0,12.01.2019/00:27:58,10,#19011200037,1,19011100634,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100607,1998,888878,0,12.01.2019/00:28:42,10,#19011200038,1,19011100666,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100724,1998,888878,0,12.01.2019/00:29:17,10,#19011200039,1,19011100693,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100747,1998,888878,0,12.01.2019/01:06:36,10,#19011200040,1,19011100726,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100720,1998,888878,0,12.01.2019/01:07:17,10,#19011200041,1,19011100690,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100721,1998,888878,0,12.01.2019/01:08:33,10,#19011200042,1,19011100698,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100726,1998,888878,0,12.01.2019/01:09:16,10,#19011200043,1,19011100700,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100706,1998,888878,0,12.01.2019/01:09:43,10,#19011200044,1,19011100688,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100728,1998,888878,0,12.01.2019/01:10:07,10,#19011200045,1,19011100730,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100708,1998,888878,0,12.01.2019/01:10:30,10,#19011200046,1,19011100735,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100811,1998,888878,0,12.01.2019/01:10:54,10,#19011200047,1,19011100685,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100787,1998,888878,0,12.01.2019/01:11:07,10,#19011200048,1,19011100739,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100741,1998,888878,0,12.01.2019/01:11:42,10,#19011200049,1,19011100731,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100745,1998,888878,0,12.01.2019/01:12:08,10,#19011200050,1,19011100724,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100783,1998,888878,0,12.01.2019/01:12:31,10,#19011200051,1,19011100737,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100771,1998,888878,0,12.01.2019/01:13:05,10,#19011200052,1,19011100736,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100769,1998,888878,0,12.01.2019/01:13:34,10,#19011200053,1,19011100707,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100773,1998,888878,0,12.01.2019/01:13:55,10,#19011200054,1,19011100740,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100722,1998,888878,0,12.01.2019/01:15:27,10,#19011200055,1,19011100702,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100581,1998,888878,0,12.01.2019/01:16:19,10,#19011200056,1,19011100683,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100734,1998,888878,0,12.01.2019/01:17:11,10,#19011200057,1,19011100747,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100757,1998,888878,0,12.01.2019/01:17:36,10,#19011200058,1,19011100751,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100826,1998,888878,0,12.01.2019/01:17:57,10,#19011200059,1,19011100703,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100586,1998,888878,0,12.01.2019/01:18:30,10,#19011200060,1,19011100663,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100813,1998,888878,0,12.01.2019/01:18:57,10,#19011200061,1,19011100689,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100768,1998,888878,0,12.01.2019/01:19:18,10,#19011200062,1,19011100758,2016,884280,0 ,
